account_age_months,avg_order_value,total_orders,days_since_last_purchase,discount_usage_rate,return_rate,customer_support_tickets,loyalty_member,browsing_frequency_per_week,cart_abandonment_rate,product_review_score_avg,engagement_score,satisfaction_score,price_sensitivity_index,churned,Orders_per_Month,total_customer_spend,inactivity_risk_score,frustration_index,discount_hunter
42,44.75,11,28,0.132,0.0808,3,0,2.7,0.589,3.63,4.87,6.36,3.7,0,1.2619047619047619,492.25,7.5675675675675675,0.03293478260869565,0.48840000000000006
36,28.16,10,8,0.063,0.0064,0,0,3.0,0.833,4.32,5.93,9.3,3.3,0,1.2777777777777777,281.6,2.0,0.0,0.2079
29,55.54,1,7,0.232,0.1448,0,0,4.9,0.607,4.35,6.32,8.87,4.3,0,1.0344827586206897,55.54,1.1864406779661016,0.0,0.9976
53,92.51,1,9,0.15,0.0816,0,0,0.0,0.561,2.85,4.58,7.58,3.5,0,1.0188679245283019,92.51,9.0,0.0,0.525
39,57.0,10,5,0.269,0.0152,1,0,7.3,0.427,5.0,7.52,9.28,4.5,0,1.2564102564102564,570.0,0.6024096385542168,0.0014785992217898833,1.2105000000000001
34,70.37,26,10,0.227,0.0208,1,0,4.0,0.806,3.94,6.7,8.2,4.2,0,1.7647058823529411,1829.6200000000001,2.0,0.0022608695652173915,0.9534
22,46.9,1,15,0.256,0.0432,0,0,1.9,0.637,2.91,4.92,7.77,4.5,0,1.0454545454545454,46.9,5.172413793103448,0.0,1.1520000000000001
55,27.63,28,24,0.309,0.02,0,1,3.8,0.891,4.33,6.0,9.26,5.0,0,1.509090909090909,773.64,5.0,0.0,1.545
31,190.85,1,25,0.218,0.028,1,0,5.7,0.587,5.0,5.68,9.24,3.4,0,1.032258064516129,190.85,3.7313432835820897,0.002734375,0.7412
28,46.14,22,45,0.385,0.3016,1,0,7.6,0.999,3.8,6.02,7.13,5.4,0,1.7857142857142856,1015.08,5.232558139534884,0.03709717097170972,2.079
35,131.91,18,27,0.034,0.0128,1,0,4.1,0.27,3.11,5.62,7.4,2.4,0,1.5142857142857142,2374.38,5.294117647058824,0.0015238095238095239,0.0816
34,26.17,1,5,0.199,0.1504,2,0,0.3,0.678,3.18,4.88,6.35,4.2,0,1.0294117647058822,26.17,3.846153846153846,0.04092517006802721,0.8358000000000001
13,28.19,7,21,0.415,0.024,0,0,3.7,0.224,5.0,5.42,9.92,5.7,0,1.5384615384615383,197.33,4.468085106382978,0.0,2.3655
41,54.45,21,22,0.194,0.0376,0,0,0.0,0.715,3.98,4.6,8.85,4.0,0,1.5121951219512195,1143.45,22.0,0.0,0.776
4,53.79,2,35,0.255,0.2704,1,0,0.3,0.737,3.46,3.42,6.89,4.5,0,1.5,107.58,26.923076923076923,0.03427122940430925,1.1475
43,78.45,22,129,0.399,0.0576,1,1,0.7,0.54,4.43,1.0,8.57,5.3,1,1.5116279069767442,1725.9,75.88235294117648,0.006018808777429467,2.1147
6,31.99,1,33,0.171,0.044,1,0,0.3,0.414,2.94,3.48,7.13,4.0,1,1.1666666666666667,31.99,25.384615384615383,0.005412054120541206,0.684
1,67.75,1,13,0.221,0.1752,2,0,0.6,0.285,3.43,4.58,6.51,4.1,0,2.0,67.75,8.125,0.0466577896138482,0.9060999999999999
12,108.72,10,33,0.319,0.1528,2,0,7.4,0.631,3.03,6.15,6.19,4.6,0,1.8333333333333335,1087.2,3.9285714285714284,0.042503477051460355,1.4673999999999998
35,180.54,27,46,0.25,0.0152,0,1,1.1,0.877,4.14,3.97,9.09,3.7,0,1.7714285714285714,4874.58,21.904761904761905,0.0,0.925
59,69.19,1,11,0.182,0.0272,2,0,5.1,0.668,4.24,6.18,7.82,3.9,0,1.0169491525423728,69.19,1.8032786885245902,0.006167800453514739,0.7098
11,68.17,9,15,0.267,0.0712,3,0,5.2,0.771,3.18,6.28,5.94,4.5,0,1.8181818181818183,613.53,2.4193548387096775,0.030778097982708932,1.2015
23,45.74,18,20,0.15,0.2376,3,1,5.5,0.706,2.38,6.43,4.59,3.8,0,1.7826086956521738,823.32,3.076923076923077,0.1275134168157424,0.57
14,44.14,1,51,0.396,0.092,2,1,6.3,0.737,3.68,4.58,7.04,5.5,0,1.0714285714285714,44.14,6.986301369863014,0.022885572139303485,2.178
19,122.82,5,6,0.207,0.0048,1,0,2.3,0.596,5.0,5.63,9.32,3.7,0,1.263157894736842,614.0999999999999,1.8181818181818183,0.0004651162790697674,0.7659
37,53.95,10,10,0.408,0.0896,1,0,3.1,0.564,3.09,5.87,7.12,5.5,0,1.2702702702702702,539.5,2.439024390243903,0.011034482758620689,2.2439999999999998
16,58.22,5,39,0.156,0.0056,0,0,1.3,0.54,4.96,3.65,9.94,3.7,0,1.3125,291.1,16.956521739130437,0.0,0.5772
44,96.81,12,21,0.193,0.0016,0,0,9.0,0.68,4.18,7.35,9.17,3.8,0,1.2727272727272727,1161.72,2.1,0.0,0.7333999999999999
28,189.07,1,51,0.317,0.0672,3,0,0.0,0.455,4.17,2.48,6.95,4.1,1,1.0357142857142858,189.07,51.0,0.025358490566037735,1.2996999999999999
45,166.89,1,11,0.424,0.044,0,1,0.1,0.653,3.76,4.52,8.61,5.0,0,1.0222222222222221,166.89,10.0,0.0,2.12
31,92.74,24,17,0.56,0.0392,1,0,2.9,0.376,4.93,5.92,9.13,6.4,0,1.7741935483870968,2225.7599999999998,4.3589743589743595,0.0038696939782823293,3.5840000000000005
53,54.75,14,12,0.336,0.0312,0,1,0.0,0.347,3.86,4.87,8.76,5.0,0,1.2641509433962264,766.5,12.0,0.0,1.6800000000000002
7,137.94,1,5,0.463,0.1848,1,0,3.2,0.9,5.0,5.85,8.72,5.4,0,1.1428571428571428,137.94,1.1904761904761905,0.019012345679012343,2.5002000000000004
46,33.27,1,1,0.339,0.1112,3,0,3.8,0.633,2.19,6.25,4.82,5.2,0,1.0217391304347827,33.27,0.20833333333333334,0.05731958762886598,1.7628000000000001
52,44.42,27,47,0.07,0.0728,1,0,5.0,0.611,4.53,5.22,8.62,3.2,0,1.5192307692307692,1199.3400000000001,7.833333333333333,0.007567567567567568,0.22400000000000003
27,51.38,1,40,0.313,0.1,0,0,5.1,0.476,3.36,4.73,8.03,4.9,0,1.037037037037037,51.38,6.557377049180328,0.0,1.5337
17,103.54,9,8,0.6,0.0016,1,0,0.5,0.666,4.23,5.07,8.56,6.6,0,1.5294117647058822,931.86,5.333333333333333,0.00016736401673640169,3.9599999999999995
7,137.76,2,164,0.136,0.0704,3,0,0.0,0.355,3.32,1.0,6.09,3.1,1,1.2857142857142856,275.52,164.0,0.02978843441466855,0.42160000000000003
15,19.32,1,11,0.309,0.0752,0,0,3.5,0.587,3.88,5.65,8.63,5.0,0,1.0666666666666667,19.32,2.4444444444444446,0.0,1.545
53,49.37,27,50,0.033,0.1376,1,0,4.7,0.925,2.97,4.97,6.84,2.9,0,1.509433962264151,1332.99,8.771929824561402,0.017551020408163264,0.09570000000000001
40,89.13,11,13,0.522,0.0632,0,0,3.3,0.617,3.01,5.82,7.8,6.1,0,1.275,980.43,3.0232558139534884,0.0,3.1842
12,48.31,7,16,0.351,0.1399999999999999,1,0,4.6,0.677,3.39,5.97,7.26,5.2,0,1.5833333333333335,338.17,2.857142857142857,0.01694915254237287,1.8252
55,23.35,28,4,0.068,0.0136,1,0,3.3,0.663,2.57,6.83,6.86,3.3,0,1.509090909090909,653.8000000000001,0.9302325581395349,0.0017302798982188293,0.22440000000000002
8,26.65,7,100,0.196,0.0048,0,0,4.2,0.776,4.35,1.63,9.33,4.2,1,1.875,186.54999999999998,19.23076923076923,0.0,0.8232
2,75.57,1,1,0.125,0.004,1,0,3.8,0.564,3.7,6.25,8.02,3.4,0,1.5,75.57,0.20833333333333334,0.00044345898004434595,0.425
44,44.41,1,19,0.077,0.2704,1,0,0.0,0.528,3.83,4.08,7.26,3.3,0,1.0227272727272727,44.41,19.0,0.03273607748184019,0.2541
59,62.68,15,61,0.491,0.0688,1,0,1.5,0.396,2.71,2.95,6.81,6.1,1,1.2542372881355932,940.2,24.4,0.008809218950064021,2.9951
38,58.91,1,43,0.179,0.0567999999999999,1,0,2.5,0.946,3.64,3.72,7.78,3.9,0,1.0263157894736843,58.91,12.285714285714286,0.006469248291571742,0.6980999999999999
56,42.62,1,16,0.33,0.0224,0,0,2.7,0.867,4.96,5.13,9.89,5.1,0,1.0178571428571428,42.62,4.324324324324324,0.0,1.683
26,42.21,20,8,0.245,0.0312,1,1,3.8,0.574,4.44,6.53,8.67,4.5,0,1.7692307692307692,844.2,1.6666666666666667,0.003226473629782833,1.1025
51,34.73,1,32,0.45,0.0736,1,0,2.7,0.535,4.61,4.33,8.7,5.9,0,1.0196078431372548,34.73,8.648648648648647,0.007587628865979382,2.6550000000000002
21,34.77,1,43,0.224,0.0624,2,0,1.6,0.761,4.0,3.42,7.46,4.4,1,1.0476190476190477,34.77,16.538461538461537,0.014751773049645388,0.9856000000000001
57,112.04,15,54,0.297,0.036,0,0,1.1,0.748,3.72,3.17,8.6,4.4,1,1.263157894736842,1680.6000000000001,25.71428571428571,0.0,1.3068
50,56.49,13,3,0.075,0.004,0,1,2.7,0.827,4.84,6.18,9.83,3.2,0,1.26,734.37,0.8108108108108107,0.0,0.24
13,50.97,4,47,0.365,0.084,0,0,1.5,0.372,4.11,3.28,8.83,5.2,0,1.3076923076923077,203.88,18.8,0.0,1.898
19,53.44,15,31,0.412,0.148,2,0,4.2,0.313,3.4,5.35,6.57,5.6,0,1.7894736842105263,801.5999999999999,5.961538461538462,0.03910171730515191,2.3072
18,43.51,1,7,0.452,0.0192,0,1,3.3,0.721,4.75,5.78,9.69,5.9,0,1.0555555555555556,43.51,1.627906976744186,0.0,2.6668000000000003
2,79.69,1,29,0.313,0.0744,1,0,2.9,0.812,4.19,4.55,8.28,4.7,0,1.5,79.69,7.435897435897436,0.008017241379310345,1.4711
52,94.23,40,6,0.119,0.1048,0,1,2.3,0.615,3.41,6.8,8.06,3.3,0,1.7692307692307692,3769.2000000000003,1.8181818181818183,0.0,0.39269999999999994
45,13.06,12,69,0.248,0.224,2,1,2.2,0.632,4.0,2.68,6.92,4.7,1,1.2666666666666666,156.72,21.5625,0.05656565656565657,1.1656
54,49.11,28,30,0.537,0.0464,2,0,5.1,0.521,3.8,6.13,7.31,6.5,0,1.5185185185185186,1375.08,4.918032786885246,0.011167268351383876,3.4905000000000004
42,56.52,1,32,0.143,0.1192,3,0,0.0,0.674,3.21,3.43,5.81,3.7,1,1.0238095238095237,56.52,32.0,0.05251101321585904,0.5291
49,70.11,13,10,0.692,0.124,1,0,0.5,0.544,3.91,5.1,7.83,7.4,0,1.2653061224489797,911.43,6.666666666666667,0.01404303510758777,5.1208
57,75.37,1,16,0.218,0.1824,1,0,2.6,0.927,3.15,5.1,6.88,4.1,0,1.0175438596491229,75.37,4.444444444444445,0.02314720812182741,0.8937999999999999
28,140.37,8,47,0.176,0.064,0,0,6.7,0.657,3.71,5.15,8.5,3.4,0,1.2857142857142856,1122.96,6.103896103896104,0.0,0.5983999999999999
50,209.63,1,15,0.337,0.0944,1,0,3.7,0.492,5.0,5.52,9.02,4.1,0,1.02,209.63,3.1914893617021276,0.009421157684630739,1.3817
23,155.21,6,22,0.252,0.0248,1,0,6.9,0.353,2.87,6.4,7.12,3.8,0,1.2608695652173914,931.26,2.7848101265822782,0.003054187192118226,0.9576
4,50.81,2,33,0.259,0.0776,0,0,5.7,0.244,4.66,5.32,9.4,4.5,0,1.5,101.62,4.925373134328358,0.0,1.1655
4,60.81,1,18,0.085,0.0096,1,0,2.9,0.791,4.27,5.1,8.57,3.2,0,1.25,60.81,4.615384615384616,0.0010031347962382443,0.272
12,95.42,1,9,0.191,0.084,0,0,3.0,0.537,3.46,5.58,8.18,3.8,0,1.0833333333333333,95.42,2.25,0.0,0.7258
22,41.21,6,30,0.731,0.0072,1,0,2.5,0.503,3.59,4.53,7.9,7.9,0,1.2727272727272727,247.26,8.571428571428571,0.0008089887640449438,5.7749
26,210.31,1,46,0.177,0.0992,1,0,5.4,0.628,4.6,4.53,8.6,3.0,0,1.0384615384615385,210.31,7.1875,0.010333333333333333,0.5309999999999999
40,46.37,21,1,0.147,0.0952,2,0,3.9,0.971,3.01,6.95,6.36,3.8,0,1.525,973.77,0.2040816326530612,0.025869565217391303,0.5586
42,50.5,1,152,0.295,0.0567999999999999,1,0,4.6,0.625,4.14,1.57,8.28,4.8,1,1.0238095238095237,50.5,27.142857142857146,0.006120689655172404,1.416
35,332.24,9,26,0.477,0.0888,1,1,2.0,0.837,4.49,4.67,8.53,4.3,0,1.2571428571428571,2990.16,8.666666666666666,0.009317943336831062,2.0511
4,121.05,3,24,0.201,0.0592,2,1,3.0,0.926,3.68,4.9,7.15,3.7,0,1.75,363.15,6.0,0.01452760736196319,0.7437
12,54.42,4,12,0.063,0.036,2,0,4.3,0.731,3.44,5.97,6.99,3.1,0,1.3333333333333333,217.68,2.2641509433962264,0.009011264080100124,0.1953
4,52.08,2,45,0.315,0.0056,1,0,3.0,0.603,3.52,3.82,7.83,4.9,0,1.5,104.16,11.25,0.0006342015855039637,1.5435
52,167.23,1,47,0.292,0.0312,2,0,5.1,0.844,3.85,4.38,7.41,4.0,0,1.0192307692307692,167.23,7.704918032786885,0.007419738406658739,1.168
57,131.56,1,28,0.292,0.0312,0,0,0.7,0.569,4.28,3.87,9.18,4.3,0,1.0175438596491229,131.56,16.47058823529412,0.0,1.2555999999999998
31,64.5,8,0,0.113,0.0032,0,0,0.0,0.548,4.69,5.27,9.68,3.4,0,1.2580645161290323,516.0,0.0,0.0,0.3842
7,89.03,1,16,0.414,0.1872,0,0,3.6,0.765,5.0,5.43,9.38,5.4,0,1.1428571428571428,89.03,3.4782608695652177,0.0,2.2356000000000003
10,350.17,3,68,0.208,0.2728,3,0,3.1,0.83,3.73,2.73,5.82,2.4,1,1.3,1050.51,16.585365853658537,0.12,0.4992
24,35.3,13,26,0.043,0.0368,0,0,4.7,0.344,4.97,5.7,9.85,3.1,0,1.5416666666666665,458.9,4.56140350877193,0.0,0.1333
15,74.17,4,47,0.269,0.0296,0,0,3.2,0.713,4.16,3.85,9.06,4.4,0,1.2666666666666666,296.68,11.19047619047619,0.0,1.1836000000000002
39,110.51,10,50,0.331,0.052,0,0,5.1,0.182,3.74,4.53,8.57,4.7,0,1.2564102564102564,1105.1000000000001,8.196721311475411,0.0,1.5557
20,43.64,1,17,0.089,0.0072,1,0,6.4,0.473,3.03,6.32,7.34,3.4,0,1.05,43.64,2.2972972972972974,0.0008633093525179857,0.3026
58,87.66,1,10,0.421,0.0112,4,0,1.5,0.532,3.51,5.03,5.81,5.4,0,1.0172413793103448,87.66,4.0,0.00657856093979442,2.2734
7,67.17,1,59,0.06,0.0408,1,1,4.0,0.355,3.93,3.42,8.13,3.0,0,1.1428571428571428,67.17,11.8,0.004468784227820373,0.18
13,84.32,4,10,0.115,0.108,1,0,3.8,0.298,4.06,5.9,8.03,3.3,0,1.3076923076923077,337.28,2.0833333333333335,0.01196013289036545,0.3795
55,24.85,1,1,0.119,0.0424,1,0,2.8,0.794,2.38,5.92,6.57,3.7,0,1.018181818181818,24.85,0.2631578947368421,0.00560105680317041,0.4403
28,151.35,1,34,0.556,0.0192,0,0,4.3,0.597,4.84,4.77,9.78,6.0,0,1.0357142857142858,151.35,6.415094339622642,0.0,3.3360000000000003
39,169.91,10,13,0.416,0.0248,0,1,1.6,0.514,5.0,5.22,9.92,4.9,0,1.2564102564102564,1699.1,5.0,0.0,2.0384
18,100.68,14,23,0.143,0.1104,1,1,5.3,0.303,4.41,6.08,8.38,3.4,0,1.7777777777777777,1409.52,3.6507936507936507,0.011769722814498933,0.48619999999999997
47,56.4,12,36,0.268,0.0672,0,1,3.4,0.843,5.0,4.73,9.78,4.5,0,1.2553191489361701,676.8,8.181818181818182,0.0,1.206
11,22.4,3,31,0.436,0.02,2,0,7.7,0.749,3.28,6.12,6.88,5.9,0,1.2727272727272727,67.19999999999999,3.563218390804598,0.005076142131979696,2.5724
36,151.31,28,82,0.635,0.1952,1,0,3.7,0.885,4.35,3.07,8.03,6.5,1,1.7777777777777777,4236.68,17.4468085106383,0.02161683277962348,4.1275
53,74.11,1,82,0.344,0.22,0,0,3.5,0.747,2.89,2.1,7.16,5.0,1,1.0188679245283019,74.11,18.22222222222222,0.0,1.7199999999999998
36,28.23,10,116,0.126,0.0024,0,0,3.5,0.618,4.49,1.5,9.48,3.7,1,1.2777777777777777,282.3,25.77777777777778,0.0,0.4662
2,41.47,1,26,0.334,0.016,0,0,5.5,0.446,5.0,5.57,9.95,5.1,0,1.5,41.47,4.0,0.0,1.7034
48,93.51,25,5,0.275,0.052,0,0,4.7,0.627,3.52,7.15,8.35,4.4,0,1.5208333333333335,2337.75,0.8771929824561403,0.0,1.2100000000000002
46,24.23,12,30,0.639,0.0656,0,0,4.5,0.537,3.86,5.4,8.64,7.3,0,1.2608695652173914,290.76,5.454545454545454,0.0,4.6647
17,27.45,9,35,0.185,0.0696,0,0,4.3,0.747,3.05,4.98,7.82,4.1,0,1.5294117647058822,247.04999999999998,6.60377358490566,0.0,0.7585
6,29.07,2,8,0.356,0.0368,2,0,4.2,0.394,5.0,6.07,8.54,5.3,0,1.3333333333333333,58.14,1.5384615384615383,0.007714884696016772,1.8867999999999998
41,69.44,21,18,0.346,0.0496,1,0,4.2,0.471,4.1,6.2,8.27,5.0,0,1.5121951219512195,1458.24,3.4615384615384612,0.00535059331175836,1.73
46,87.69,12,4,0.15,0.064,0,1,4.6,0.438,4.86,6.73,9.65,3.5,0,1.2608695652173914,1052.28,0.7142857142857143,0.0,0.525
23,110.46,12,16,0.353,0.1096,4,0,3.7,0.762,2.86,5.83,4.83,4.8,0,1.5217391304347827,1325.52,3.404255319148936,0.07519725557461407,1.6944
47,129.76,1,8,0.161,0.0048,1,0,3.9,0.378,3.91,5.93,8.23,3.3,0,1.0212765957446808,129.76,1.6326530612244896,0.0005200433369447453,0.5313
16,142.6,1,254,0.666,0.0488,0,0,3.0,0.62,5.0,1.03,9.84,6.8,1,1.0625,142.6,63.5,0.0,4.5288
60,125.51,1,33,0.401,0.0504,2,0,0.3,0.246,3.69,3.48,7.19,5.1,0,1.0166666666666666,125.51,25.384615384615383,0.012307692307692306,2.0451
41,102.8,11,5,0.45,0.0912,0,0,3.0,0.711,4.79,6.12,9.49,5.5,0,1.2682926829268293,1130.8,1.25,0.0,2.475
26,103.2,14,118,0.314,0.0376,0,0,4.8,0.644,2.16,2.07,7.03,4.6,1,1.5384615384615383,1444.8,20.344827586206897,0.0,1.4444
46,128.71,24,5,0.346,0.0088,0,0,4.6,0.513,3.89,7.08,8.86,4.6,0,1.5217391304347827,3089.04,0.8928571428571429,0.0,1.5915999999999997
50,78.52,13,28,0.443,0.0104,1,0,4.6,0.718,5.0,5.57,9.3,5.6,0,1.26,1020.76,5.0,0.0010097087378640776,2.4808
1,35.77,1,17,0.334,0.1552,0,0,6.6,0.209,4.59,6.38,9.07,5.1,0,2.0,35.77,2.236842105263158,0.0,1.7034
36,28.88,19,25,0.146,0.0488,1,1,2.4,0.608,2.87,5.18,7.04,3.8,0,1.5277777777777777,548.72,7.352941176470589,0.006069651741293533,0.5548
30,62.7,8,28,0.038,0.112,0,0,9.1,0.89,4.98,6.9,9.61,2.9,0,1.2666666666666666,501.6,2.7722772277227725,0.0,0.11019999999999999
2,27.74,1,4,0.087,0.0176,1,0,4.3,0.487,4.2,6.27,8.47,3.4,0,1.5,27.74,0.7547169811320755,0.0018585005279831046,0.29579999999999995
20,21.59,21,16,0.172,0.0472,0,0,5.2,0.796,3.49,6.63,8.33,4.1,0,2.05,453.39,2.5806451612903225,0.0,0.7051999999999998
5,27.74,1,5,0.133,0.0256,1,0,0.0,0.756,4.36,4.78,8.61,3.8,0,1.2,27.74,5.0,0.002663891779396462,0.5054
31,29.51,8,6,0.396,0.0384,1,0,3.8,0.518,2.62,6.23,6.83,5.6,0,1.2580645161290323,236.08,1.25,0.004904214559386973,2.2176
8,57.57,3,21,0.33,0.044,0,0,0.6,0.223,5.0,4.25,9.85,5.0,0,1.375,172.71,13.125,0.0,1.6500000000000001
30,56.78,1,2,0.607,0.1072,1,0,4.5,0.712,4.12,6.43,8.1,6.9,0,1.0333333333333334,56.78,0.36363636363636365,0.011780219780219781,4.1883
39,47.64,1,5,0.2,0.0632,0,0,3.4,0.374,4.03,5.92,8.82,4.1,0,1.0256410256410255,47.64,1.1363636363636362,0.0,0.82
2,43.25,1,21,0.328,0.0384,1,0,0.0,0.471,3.9,3.98,8.11,5.0,0,1.5,43.25,21.0,0.004215148188803513,1.6400000000000001
53,16.43,14,37,0.137,0.06,2,0,6.3,0.436,2.57,5.72,6.04,3.9,0,1.2641509433962264,230.01999999999998,5.068493150684931,0.017045454545454544,0.5343
13,60.28,7,64,0.305,0.0792,1,1,4.9,0.75,3.64,3.67,7.71,4.8,0,1.5384615384615383,421.96000000000004,10.847457627118644,0.009092996555683124,1.464
4,128.08,2,24,0.181,0.0008,0,0,2.3,0.748,2.68,4.63,7.68,3.5,0,1.5,256.16,7.272727272727273,0.0,0.6335
